scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Suniana sunias,2,2021,2,Queensland,Hesperiidae,Suniana,-27.54055,153.06534
Papilio (Eleppone) anactus,1,2020,2,Queensland,Papilionidae,Papilio,-26.41035,153.05568
Cressida cressida,3,2020,4,Queensland,Papilionidae,Cressida,-17.4,145.4
Doleschallia bisaltide,1,2021,10,Queensland,Nymphalidae,Doleschallia,-17.38747,145.47731
Phaedyma shepherdi,1,2021,4,Queensland,Nymphalidae,Phaedyma,-17.31233,145.58734
Euploea corinna,1,2021,10,Queensland,Nymphalidae,Euploea,-17.651585,145.339089
Delias nigrina,2,2020,8,Queensland,Pieridae,Delias,-27.4899,152.7455
Cephrenes augiades,1,2023,7,Queensland,Hesperiidae,Cephrenes,-16.8197,145.6333
Ocybadistes walkeri,1,2021,11,Queensland,Hesperiidae,Ocybadistes,-18.006334,145.279114
Catopsilia pomona,3,2022,3,Queensland,Pieridae,Catopsilia,-17.31248,145.58738
Junonia villida,2,2021,2,Australian Capital Territory,Nymphalidae,Junonia,-35.23883,149.16253
Phaedyma shepherdi,1,2020,5,Queensland,Nymphalidae,Phaedyma,-24.85592,152.3354
Papilio (Princeps) demoleus,6,2021,7,Western Australia,Papilionidae,Papilio,-22.47786,118.55654
Eurema hecabe,2,2020,3,Queensland,Pieridae,Eurema,-28.01941,153.33848
Eurema hecabe,3,2020,5,Queensland,Pieridae,Eurema,-27.68,152.849
Eurema brigitta,1,2023,1,New South Wales,Pieridae,Eurema,-30.35656,153.10465
Tirumala hamata,3,2020,5,Queensland,Nymphalidae,Tirumala,-26.5871,151.8063
Junonia villida,1,2022,3,New South Wales,Nymphalidae,Junonia,-33.92228,150.93676
Vanessa kershawi,1,2023,1,Victoria,Nymphalidae,Vanessa,-37.35552,144.15346
Delias ennia,1,2022,3,Queensland,Pieridae,Delias,-17.31248,145.58738
Hypolycaena danis,1,2022,2,Queensland,Lycaenidae,Hypolycaena,-17.31244,145.58733
Delias mysis,1,2020,7,Queensland,Pieridae,Delias,-17.31274,145.58756
Leptotes plinius,2,2021,1,New South Wales,Lycaenidae,Leptotes,-34.02138,150.85847
Graphium choredon,1,2023,1,New South Wales,Papilionidae,Graphium,-30.35656,153.10465
Cupha prosope,2,2021,4,Queensland,Nymphalidae,Cupha,-17.31289,145.587
Danaus plexippus,4,2019,1,Queensland,Nymphalidae,Danaus,-27.541594,152.996861
Delias mysis,1,2020,7,Queensland,Pieridae,Delias,-17.31247,145.58779
Hypolimnas bolina,1,2023,1,Queensland,Nymphalidae,Hypolimnas,-17.31254,145.58717
Melanitis leda,1,2021,10,Queensland,Nymphalidae,Melanitis,-17.651585,145.339089
Zizina otis,1,2020,12,Victoria,Lycaenidae,Zizina,-38.63443,143.89211
Hypolimnas bolina,1,2021,2,New South Wales,Nymphalidae,Hypolimnas,-33.9222,150.93669
Phaedyma shepherdi,3,2021,1,Queensland,Nymphalidae,Phaedyma,-17.31263,145.58708
Graphium eurypylus,1,2023,1,Queensland,Papilionidae,Graphium,-17.3788,145.38465
Cephrenes augiades,1,2022,2,Queensland,Hesperiidae,Cephrenes,-17.31254,145.587222
Euploea corinna,30,2020,3,Queensland,Nymphalidae,Euploea,-27.52954,153.05779
Junonia villida,1,2023,4,Queensland,Nymphalidae,Junonia,-17.38588,145.38482
Euploea corinna,1,2021,12,Queensland,Nymphalidae,Euploea,-27.53849,153.06572
Cupha prosope,1,2022,12,Queensland,Nymphalidae,Cupha,-17.31175,145.58884
Junonia villida,1,2022,10,Queensland,Nymphalidae,Junonia,-17.31244,145.5874
Danaus plexippus,1,2020,2,Queensland,Nymphalidae,Danaus,-17.37258,145.70647
Leptotes plinius,11,2020,4,Queensland,Lycaenidae,Leptotes,-17.3788,145.38465
Trapezites symmomus,1,2021,3,New South Wales,Hesperiidae,Trapezites,-34.939008,150.775723
Papilio (Princeps) ulysses,1,2022,8,Queensland,Papilionidae,Papilio,-17.31233,145.58732
Paralucia aurifera,1,2022,1,Tasmania,Lycaenidae,Paralucia,-43.1263,147.71897
